Id,CID,LastName,FirstName,Party,Office,FECCandID
468,N00031782,Scott,Tim,R,SCS1,S4SC00240
469,N00004291,Sensenbrenner,F James Jr,R,WI05,H8WI09050
470,N00001813,Serrano,Jose E,D,NY15,H0NY18065
471,N00003062,Sessions,Jeff,R,ALS1,S6AL00195
472,N00005681,Sessions,Pete,R,TX32,H2TX03126
473,N00030622,Sewell,Terri A,D,AL07,H0AL07086
474,N00024790,Shaheen,Jeanne,D,NHS2,S0NH00219
475,N00028091,Shea-Porter,Carol,D,NH01,H6NH01230
476,N00009920,Shelby,Richard C,R,ALS2,S6AL00013
477,N00006897,Sherman,Brad,D,CA30,H6CA24113
478,N00004961,Shimkus,John M,R,IL15,H2IL20042
479,N00013770,Shuster,Bill,R,PA09,H2PA09035
480,N00006263,Simpson,Mike,R,ID02,H8ID02064
481,N00033983,Sinema,Kyrsten,D,AZ09,S8AZ00197
482,N00027523,Sires,Albio,D,NJ08,H6NJ13191
483,N00001311,Slaughter,Louise M,D,NY25,H6NY03031
484,N00007833,Smith,Adam,D,WA09,H6WA09025
485,N00027623,Smith,Adrian,R,NE03,H6NE03115
486,N00009816,Smith,Chris,R,NJ04,H8NJ04014
487,N00035282,Smith,Jason,R,MO08,H4MO08162
488,N00001811,Smith,Lamar,R,TX21,H6TX21012
489,N00042353,Smith,Tina,D,MNS1,S8MN00578
490,N00038781,Smucker,Lloyd,R,PA16,H6PA16320
491,N00037422,Soto,Darren,D,FL09,H6FL09179
492,N00029649,Speier,Jackie,D,CA14,H8CA12171
493,N00004118,Stabenow,Debbie,D,MIS2,S8MI00281
494,N00035523,Stefanik,Elise,R,NY21,H4NY21079
495,N00033932,Stewart,Chris,R,UT02,H2UT02324
496,N00029574,Stivers,Steve,R,OH15,H8OH15076
497,N00040607,Strange,Luther,R,ALS1,S8AL00308
498,N00035774,Sullivan,Dan,R,AKS1,S4AK00214
499,N00038742,Suozzi,Tom,D,NY03,H6NY03247
500,N00033508,Swalwell,Eric,D,CA15,H2CA15094
501,N00006701,Takano,Mark,D,CA41,H2CA43245
502,N00031263,Taylor,Scott,R,VA02,H0VA02118
503,N00036351,Tenney,Claudia,R,NY22,H4NY22051
504,N00027605,Tester,Jon,D,MTS1,S6MT00162
505,N00003288,Thompson,Bennie G,D,MS02,H4MS02068
506,N00029736,Thompson,Glenn,R,PA05,H8PA05071
507,N00007419,Thompson,Mike,D,CA05,H8CA01109
508,N00006052,Thornberry,Mac,R,TX13,H4TX13014
509,N00004572,Thune,John,R,SDS1,S2SD00068
510,N00009699,Tiberi,Pat,R,OH12,H0OH12062
511,N00035492,Tillis,Thom,R,NCS1,S4NC00162
512,N00027509,Tipton,Scott,R,CO03,H6CO03139
513,N00030191,Titus,Dina,D,NV01,H8NV03036
514,N00030196,Tonko,Paul,D,NY20,H8NY21203
515,N00001489,Toomey,Pat,R,PAS1,S4PA00121
516,N00036107,Torres,Norma,D,CA35,H4CA35031
517,N00035607,Trott,Dave,R,MI11,H4MI11097
518,N00029026,Tsongas,Niki,D,MA03,H8MA05143
519,N00025175,Turner,Michael R,R,OH10,H2OH03067
520,N00006561,Udall,Tom,D,NMS2,S8NM00184
521,N00004133,Upton,Fred,R,MI06,H6MI04113
522,N00033367,Valadao,David,R,CA21,H2CA20094
523,N00013820,Van Hollen,Hollen, Chris,D,MDS2,S6MD03441
524,N00007021,Vargas,Juan,D,CA51,H2CA50026
525,N00033839,Veasey,Marc,D,TX33,H2TX33073
526,N00034349,Vela,Filemon,D,TX34,H2TX27190
527,N00001102,Velazquez,Nydia M,D,NY07,H2NY00010
528,N00003813,Visclosky,Pete,D,IN01,H4IN01012
529,N00033106,Wagner,Ann L,R,MO02,H2MO02102
530,N00026368,Walberg,Tim,R,MI07,H4MI07103
531,N00007690,Walden,Greg,R,OR02,H6OR02116
532,N00035311,Walker,Mark,R,NC06,H4NC06052
533,N00031226,Walorski,Jackie,R,IN02,H0IN02190
534,N00035391,Walters,Mimi,R,CA45,H4CA45097
535,N00027467,Walz,Tim,D,MN01,H6MN01174
536,N00002097,Warner,Mark,D,VAS2,S6VA00093
537,N00033492,Warren,Elizabeth,D,MAS1,S2MA00170
538,N00006690,Waters,Maxine,D,CA43,H4CA23011
539,N00033539,Weber,Randy,R,TX14,H2TX14149
540,N00026335,Webster,Daniel,R,FL11,H0FL08208
541,N00000515,Welch,Peter,D,VT01,H6VT00160
542,N00033310,Wenstrup,Brad,R,OH02,H2OH02085
543,N00035527,Westerman,Bruce,R,AR04,H4AR04048
544,N00027533,Whitehouse,Sheldon,D,RIS1,S6RI00221
545,N00003280,Wicker,Roger,R,MSS2,S8MS00196
546,N00041997,Wild,Susan,D,PA15,H8PA15229
547,N00030602,Williams,Roger,R,TX25,H2TX33040
548,N00030650,Wilson,Frederica,D,FL24,H0FL17068
549,N00024809,Wilson,Joe,R,SC02,H2SC02059
550,N00029459,Wittman,Rob,R,VA01,H8VA01147
551,N00031857,Womack,Steve,R,AR03,H0AR03055
552,N00032416,Woodall,Rob,R,GA07,H0GA07133
553,N00007724,Wyden,Ron,D,ORS2,S6OR00110
554,N00028073,Yarmuth,John A,D,KY03,H6KY03124
555,N00031502,Yoder,Kevin,R,KS03,H0KS03137
556,N00033220,Yoho,Ted,R,FL03,H2FL06109
557,N00035509,Young,David,R,IA03,H4IA03115
558,N00007999,Young,Don,R,AK01,H6AK00045
559,N00030670,Young,Todd,R,INS2,S6IN00191
560,N00029404,Zeldin,Lee,R,NY01,H8NY01148
561,N00035616,Zinke,Ryan K,R,MT01,H4MT01041
